ID,Line_EN,Station,Station_EN,Component_EN,Occurrence Date,Installation Date,Year,Month,YearMonth,Season,Days Since Installation,Months Since Installation,Years Since Installation,Average Daily Ridership,Ridership_Category,Location_Type_EN,Station_Daily_Runs,Station_Daily_Runs_Category,Manufacturer,Supplier,LineStation,LineStation_EN,LineStation_Failure_Count,PlatformDoor,PlatformDoor_Failure_Count,Platform_Number,Door_Number,Door_Position,Component
2549,Gyeongwon Line,녹천,Nokcheon,Obstacle Sensor,2020-08-29,2018-04-15,2020,8,2020-08,Summer,867,28.9,2.375342466,6061,Low,Above Ground,123,Medium-High,Unknown,우진산전,경원선_녹천,Gyeongwon Line_Nokcheon,51,1번홈_7-1,58.0,1.0,7.0,1.0,장애물센서
2550,Gyeongui Line,수색,Susaek,Motor,2020-08-03,2018-02-15,2020,8,2020-08,Summer,900,30.0,2.465753425,4137,Low,Above Ground,81,Low,dunkern,우진산전,경의선_수색,Gyeongui Line_Susaek,97,5번홈_8-3,9.0,5.0,8.0,3.0,모터
2551,Gyeongui Line,수색,Susaek,Motor,2020-08-05,2018-02-15,2020,8,2020-08,Summer,902,30.06666667,2.471232877,4137,Low,Above Ground,81,Low,dunkern,우진산전,경의선_수색,Gyeongui Line_Susaek,97,5번홈_5-1,7.0,5.0,5.0,1.0,모터
2552,Gyeongui Line,서울,Seoul,Open/Close Sensor,2020-08-05,2018-02-15,2020,8,2020-08,Summer,902,30.06666667,2.471232877,40626,High,Above Ground,2,Low,Unknown,우진산전,경의선_서울,Gyeongui Line_Seoul,14,1번홈_4-1,86.0,1.0,4.0,1.0,열림/닫힘센서
2553,Gyeongui Line,서울,Seoul,DCU,2020-08-05,2018-02-15,2020,8,2020-08,Summer,902,30.06666667,2.471232877,40626,High,Above Ground,2,Low,우진산전,우진산전,경의선_서울,Gyeongui Line_Seoul,14,1번홈_4-1,86.0,1.0,4.0,1.0,DCU
2554,Gyeongwon Line,용산,Yongsan,Position Sensor,2020-08-06,2010-12-15,2020,8,2020-08,Summer,3522,117.4,9.649315068,61873,High,Above Ground,329,High,Unknown,현대무벡스,경원선_용산,Gyeongwon Line_Yongsan,55,2번홈_정위치센서,10.0,2.0,0.0,0.0,정위치센서
2555,Gyeongwon Line,용산,Yongsan,Door Detection Sensor,2020-08-06,2010-12-15,2020,8,2020-08,Summer,3522,117.4,9.649315068,61873,High,Above Ground,329,High,Unknown,현대무벡스,경원선_용산,Gyeongwon Line_Yongsan,55,2번홈_출입문검지센서,2.0,2.0,0.0,0.0,출입문검지센서
2556,Gyeongui Line,수색,Susaek,Motor,2020-08-12,2018-02-15,2020,8,2020-08,Summer,909,30.3,2.490410959,4137,Low,Above Ground,82,Low,dunkern,우진산전,경의선_수색,Gyeongui Line_Susaek,97,4번홈_3-4,31.0,4.0,3.0,4.0,모터
2557,Gyeongui Line,수색,Susaek,Motor,2020-08-16,2018-02-15,2020,8,2020-08,Summer,913,30.43333333,2.501369863,4137,Low,Above Ground,81,Low,dunkern,우진산전,경의선_수색,Gyeongui Line_Susaek,97,5번홈_3-1,9.0,5.0,3.0,1.0,모터
2558,Gyeongui Line,수색,Susaek,Motor,2020-08-16,2018-02-15,2020,8,2020-08,Summer,913,30.43333333,2.501369863,4137,Low,Above Ground,81,Low,dunkern,우진산전,경의선_수색,Gyeongui Line_Susaek,97,5번홈_6-3,6.0,5.0,6.0,3.0,모터
